date,event,split,bin_count,raw_mass,max_candle_age,mean_spread,mos_forecast,market,candidate,raw,uniform,gain
2025-09-28,KXHIGHMIA-25SEP28,train,6,1.025,240,0.20833333333333337,91.0,0.09551457465794168,0.14031965141928995,0.09487083333333335,0.13888888888888892,-0.044805076761348275
2025-09-29,KXHIGHMIA-25SEP29,train,6,1.115,240,0.21166666666666667,93.0,0.08949841474123083,0.14167144993443953,0.08587083333333333,0.13888888888888892,-0.052173035193208706
2025-09-30,KXHIGHMIA-25SEP30,train,6,1.095,240,0.14500000000000002,93.0,0.09486874752402995,0.12118489463694009,0.09277083333333332,0.13888888888888892,-0.026316147112910138
2025-10-01,KXHIGHMIA-25OCT01,train,6,1.19,240,0.14666666666666667,91.0,0.12645058023209285,0.0889316350150086,0.12808333333333333,0.13888888888888892,0.03751894521708425
2025-10-02,KXHIGHMIA-25OCT02,train,6,1.0,240,0.19666666666666668,88.0,0.09825833333333334,0.07844109743827199,0.09825833333333334,0.13888888888888892,0.019817235895061347
2025-10-03,KXHIGHMIA-25OCT03,train,6,1.04,240,0.19666666666666668,83.0,0.17041111932938857,0.18859980706159385,0.17225000000000001,0.13888888888888892,-0.018188687732205278
2025-10-04,KXHIGHMIA-25OCT04,train,6,1.04,240,0.04333333333333333,87.0,0.17431736932938857,0.11194765279684017,0.17694166666666664,0.13888888888888892,0.0623697165325484
2025-10-05,KXHIGHMIA-25OCT05,train,6,1.0,240,0.03666666666666667,88.0,0.061908333333333336,0.064146003524918,0.061908333333333336,0.13888888888888892,-0.002237670191584669
2025-10-06,KXHIGHMIA-25OCT06,train,6,1.03,240,0.04,88.0,0.11344141766424733,0.08871502799872921,0.1135,0.13888888888888892,0.024726389665518114
2025-10-07,KXHIGHMIA-25OCT07,train,6,1.04,120,0.03333333333333333,87.0,0.16501787475345167,0.10903709659624596,0.16715,0.13888888888888892,0.055980778157205716
2025-10-08,KXHIGHMIA-25OCT08,train,6,0.8899999999999999,240,0.16333333333333336,88.0,0.16977023103143543,0.10982747715907204,0.16490833333333332,0.13888888888888892,0.05994275387236339
2025-10-09,KXHIGHMIA-25OCT09,train,6,1.045,120,0.03833333333333334,88.0,0.18271101852063823,0.11281613766614725,0.1858375,0.13888888888888892,0.06989488085449098
2025-10-10,KXHIGHMIA-25OCT10,train,6,1.065,120,0.031666666666666655,87.0,0.20862997494618205,0.2060058602807965,0.21491249999999995,0.13888888888888892,0.002624114665385535
2025-10-11,KXHIGHMIA-25OCT11,train,6,1.13,240,0.15,85.0,0.15009006186858798,0.10179540381868657,0.15394999999999995,0.13888888888888892,0.04829465804990141
2025-10-12,KXHIGHMIA-25OCT12,train,6,1.03,240,0.05333333333333332,85.0,0.14119301222232694,0.12884613895858538,0.14199166666666665,0.13888888888888892,0.012346873263741565
2025-10-13,KXHIGHMIA-25OCT13,train,6,1.035,240,0.061666666666666675,86.0,0.13297859926719408,0.12509387172830075,0.13372916666666665,0.13888888888888892,0.007884727538893327
2025-10-14,KXHIGHMIA-25OCT14,train,6,1.345,240,0.12833333333333335,87.0,0.09879631293099872,0.10460386302112806,0.09391249999999997,0.13888888888888892,-0.005807550090129343
2025-10-15,KXHIGHMIA-25OCT15,train,6,1.1,240,0.10333333333333333,85.0,0.14417355371900822,0.10184020893085395,0.1462833333333333,0.13888888888888892,0.04233334478815427
2025-10-16,KXHIGHMIA-25OCT16,train,6,1.03,60,0.049999999999999996,86.0,0.07785056712853868,0.07135968625818782,0.07684166666666667,0.13888888888888892,0.006490880870350851
2025-10-17,KXHIGHMIA-25OCT17,train,6,1.035,240,0.051666666666666666,84.0,0.06683158689039805,0.06576954395551182,0.06526250000000001,0.13888888888888892,0.0010620429348862231
2025-10-18,KXHIGHMIA-25OCT18,train,6,1.05,240,0.04,85.0,0.0673167044595616,0.08727717672640828,0.06505,0.13888888888888892,-0.019960472266846677
2025-10-19,KXHIGHMIA-25OCT19,train,6,1.03,240,0.03333333333333333,88.0,0.0878499387312659,0.1433121104081108,0.08710000000000001,0.13888888888888892,-0.05546217167684489
2025-10-20,KXHIGHMIA-25OCT20,train,6,1.02,240,0.04666666666666666,87.0,0.16237344611047036,0.10763940591487468,0.16336666666666666,0.13888888888888892,0.054734040195595676
2025-10-21,KXHIGHMIA-25OCT21,train,6,1.005,240,0.045000000000000005,87.0,0.07427208897469535,0.09400595747752198,0.07407916666666668,0.13888888888888892,-0.01973386850282663
2025-10-22,KXHIGHMIA-25OCT22,train,6,1.01,60,0.04666666666666667,86.0,0.06777113354899847,0.0906934610620276,0.06738333333333334,0.13888888888888892,-0.022922327513029125
